requirement_id,user_outcome,entrypoint_ui_or_api,command_or_route,code_path,data_written,data_read_back,worker_or_async_effect,authz_rule,negative_case,restart_persistence_case,concurrency_case,e2e_test_id,artifact_digest,evidence_path,status
LIVE-FIRE-PROOF-01,Subject-bound discovery,NOT_PROVEN: no public entrypoint exercises this outcome end to end,sh scripts/regression-proof.sh (tests/regression/live-fire-proof-01.test.ts),src/http/openapi/registry.ts; src/application/contracts/discovery-queries.ts; src/domain/values.ts,NOT_PROVEN: asserted at the domain and contract layer; no durable write is made by this suite,NOT_PROVEN: no independent readback at this layer,NOT_PROVEN: no worker or async effect at this layer,asserted where the outcome carries one; see the acceptance column of REQUIREMENT_TRACEABILITY.csv,only POST /v1/discovery-runs is write-shaped; an unclear permission class is refused with PERMISSION_CLASS_UNCLEAR,NOT_PROVEN: restart persistence is asserted in tests/db/** where the outcome has a stored half,NOT_PROVEN: concurrency is asserted in tests/db/idempotency-store.test.ts and tests/integration/** where relevant,tests/regression/live-fire-proof-01.test.ts,UNPINNED: scripts/artifact-identity.sh is a loud-fail placeholder owned by EP-009,.agent/evidence/regression/live-fire-proof-01.txt,PARTIAL
LIVE-FIRE-PROOF-02,Controller removal closed loop,NOT_PROVEN: no public entrypoint exercises this outcome end to end,sh scripts/regression-proof.sh (tests/regression/live-fire-proof-02.test.ts),src/domain/truth-state.ts,NOT_PROVEN: asserted at the domain and contract layer; no durable write is made by this suite,NOT_PROVEN: no independent readback at this layer,NOT_PROVEN: no worker or async effect at this layer,asserted where the outcome carries one; see the acceptance column of REQUIREMENT_TRACEABILITY.csv,a claim with no observation has only NOT_REMOVABLE or HUMAN_REQUIRED to reach; the six forbidden pairs are asserted by name,NOT_PROVEN: restart persistence is asserted in tests/db/** where the outcome has a stored half,NOT_PROVEN: concurrency is asserted in tests/db/idempotency-store.test.ts and tests/integration/** where relevant,tests/regression/live-fire-proof-02.test.ts,UNPINNED: scripts/artifact-identity.sh is a loud-fail placeholder owned by EP-009,.agent/evidence/regression/live-fire-proof-02.txt,PARTIAL
LIVE-FIRE-PROOF-03,Multi-channel escalation,NOT_PROVEN: no public entrypoint exercises this outcome end to end,sh scripts/regression-proof.sh (tests/regression/live-fire-proof-03.test.ts),src/domain/values.ts,NOT_PROVEN: asserted at the domain and contract layer; no durable write is made by this suite,NOT_PROVEN: no independent readback at this layer,NOT_PROVEN: no worker or async effect at this layer,asserted where the outcome carries one; see the acceptance column of REQUIREMENT_TRACEABILITY.csv,a lower-priority channel cannot be chosen while a lawful higher one is available; a GATED channel with no recorded reason is refused,NOT_PROVEN: restart persistence is asserted in tests/db/** where the outcome has a stored half,NOT_PROVEN: concurrency is asserted in tests/db/idempotency-store.test.ts and tests/integration/** where relevant,tests/regression/live-fire-proof-03.test.ts,UNPINNED: scripts/artifact-identity.sh is a loud-fail placeholder owned by EP-009,.agent/evidence/regression/live-fire-proof-03.txt,PARTIAL
LIVE-FIRE-PROOF-04,Source and search separation,NOT_PROVEN: no public entrypoint exercises this outcome end to end,sh scripts/regression-proof.sh (tests/regression/live-fire-proof-04.test.ts),src/domain/truth-state.ts,NOT_PROVEN: asserted at the domain and contract layer; no durable write is made by this suite,NOT_PROVEN: no independent readback at this layer,NOT_PROVEN: no worker or async effect at this layer,asserted where the outcome carries one; see the acceptance column of REQUIREMENT_TRACEABILITY.csv,a delisting cannot increment a removal count; no state claims both; the vocabulary is closed,NOT_PROVEN: restart persistence is asserted in tests/db/** where the outcome has a stored half,NOT_PROVEN: concurrency is asserted in tests/db/idempotency-store.test.ts and tests/integration/** where relevant,tests/regression/live-fire-proof-04.test.ts,UNPINNED: scripts/artifact-identity.sh is a loud-fail placeholder owned by EP-009,.agent/evidence/regression/live-fire-proof-04.txt,PASS
LIVE-FIRE-PROOF-05,Reappearance monitoring,NOT_PROVEN: no public entrypoint exercises this outcome end to end,sh scripts/regression-proof.sh (tests/regression/live-fire-proof-05.test.ts),src/domain/truth-state.ts,NOT_PROVEN: asserted at the domain and contract layer; no durable write is made by this suite,NOT_PROVEN: no independent readback at this layer,NOT_PROVEN: no worker or async effect at this layer,asserted where the outcome carries one; see the acceptance column of REQUIREMENT_TRACEABILITY.csv,"no transition into REAPPEARED starts from creation, so a first-ever find cannot be labelled a reappearance",NOT_PROVEN: restart persistence is asserted in tests/db/** where the outcome has a stored half,NOT_PROVEN: concurrency is asserted in tests/db/idempotency-store.test.ts and tests/integration/** where relevant,tests/regression/live-fire-proof-05.test.ts,UNPINNED: scripts/artifact-identity.sh is a loud-fail placeholder owned by EP-009,.agent/evidence/regression/live-fire-proof-05.txt,PASS
LIVE-FIRE-PROOF-06,Custom internet removal,NOT_PROVEN: no public entrypoint exercises this outcome end to end,sh scripts/regression-proof.sh (tests/regression/live-fire-proof-06.test.ts),src/domain/values.ts; src/domain/errors.ts; src/domain/entities.ts; db/migrations/0002_identity.sql,NOT_PROVEN: asserted at the domain and contract layer; no durable write is made by this suite,NOT_PROVEN: no independent readback at this layer,NOT_PROVEN: no worker or async effect at this layer,asserted where the outcome carries one; see the acceptance column of REQUIREMENT_TRACEABILITY.csv,"an unclear permission class, a GATED channel with no record and a stale recipe are each refused",NOT_PROVEN: restart persistence is asserted in tests/db/** where the outcome has a stored half,NOT_PROVEN: concurrency is asserted in tests/db/idempotency-store.test.ts and tests/integration/** where relevant,tests/regression/live-fire-proof-06.test.ts,UNPINNED: scripts/artifact-identity.sh is a loud-fail placeholder owned by EP-009,.agent/evidence/regression/live-fire-proof-06.txt,PARTIAL
LIVE-FIRE-PROOF-07,Privacy preservation,NOT_PROVEN: no public entrypoint exercises this outcome end to end,sh scripts/regression-proof.sh (tests/regression/live-fire-proof-07.test.ts),src/application/security/egress-gate.ts; src/domain/values.ts,NOT_PROVEN: asserted at the domain and contract layer; no durable write is made by this suite,NOT_PROVEN: no independent readback at this layer,NOT_PROVEN: no worker or async effect at this layer,asserted where the outcome carries one; see the acceptance column of REQUIREMENT_TRACEABILITY.csv,an IDENTITY_DOCUMENT cannot leave; a payload-shaped metric label is refused and label values are enum-checked,NOT_PROVEN: restart persistence is asserted in tests/db/** where the outcome has a stored half,NOT_PROVEN: concurrency is asserted in tests/db/idempotency-store.test.ts and tests/integration/** where relevant,tests/regression/live-fire-proof-07.test.ts,UNPINNED: scripts/artifact-identity.sh is a loud-fail placeholder owned by EP-009,.agent/evidence/regression/live-fire-proof-07.txt,PARTIAL
LIVE-FIRE-PROOF-08,Provider transport,NOT_PROVEN: no public entrypoint exercises this outcome end to end,sh scripts/regression-proof.sh (tests/regression/live-fire-proof-08.test.ts),src/domain/entities.ts; db/migrations/0005_evidence_audit_and_ops.sql,NOT_PROVEN: asserted at the domain and contract layer; no durable write is made by this suite,NOT_PROVEN: no independent readback at this layer,NOT_PROVEN: no worker or async effect at this layer,asserted where the outcome carries one; see the acceptance column of REQUIREMENT_TRACEABILITY.csv,"SCRAPING, COOKIE_REUSE, SESSION_REPLAY, BROWSER_SESSION and UNDOCUMENTED_API are refused by name; undocumented endpoints are refused by the SSRF suites",NOT_PROVEN: restart persistence is asserted in tests/db/** where the outcome has a stored half,NOT_PROVEN: concurrency is asserted in tests/db/idempotency-store.test.ts and tests/integration/** where relevant,tests/regression/live-fire-proof-08.test.ts,UNPINNED: scripts/artifact-identity.sh is a loud-fail placeholder owned by EP-009,.agent/evidence/regression/live-fire-proof-08.txt,EXTERNAL_REQUIRED
LIVE-FIRE-PROOF-09,Failure recovery,NOT_PROVEN: no public entrypoint exercises this outcome end to end,sh scripts/regression-proof.sh (tests/regression/live-fire-proof-09.test.ts),src/domain/values.ts; db/migrations/0011_http_idempotency.sql,NOT_PROVEN: asserted at the domain and contract layer; no durable write is made by this suite,NOT_PROVEN: no independent readback at this layer,NOT_PROVEN: no worker or async effect at this layer,asserted where the outcome carries one; see the acceptance column of REQUIREMENT_TRACEABILITY.csv,a padded key is refused rather than trimmed; an empty key is refused; the DB CHECK refuses a short key,NOT_PROVEN: restart persistence is asserted in tests/db/** where the outcome has a stored half,NOT_PROVEN: concurrency is asserted in tests/db/idempotency-store.test.ts and tests/integration/** where relevant,tests/regression/live-fire-proof-09.test.ts,UNPINNED: scripts/artifact-identity.sh is a loud-fail placeholder owned by EP-009,.agent/evidence/regression/live-fire-proof-09.txt,PARTIAL
LIVE-FIRE-PROOF-10,Bug-to-draft-PR loop,NOT_PROVEN: no public entrypoint exercises this outcome end to end,sh scripts/regression-proof.sh (tests/regression/live-fire-proof-10.test.ts),src/domain/entities.ts; db/migrations/0005_evidence_audit_and_ops.sql,NOT_PROVEN: asserted at the domain and contract layer; no durable write is made by this suite,NOT_PROVEN: no independent readback at this layer,NOT_PROVEN: no worker or async effect at this layer,asserted where the outcome carries one; see the acceptance column of REQUIREMENT_TRACEABILITY.csv,"an email address in any field is refused; the fingerprint is required, and is NOT unique in the schema (recorded)",NOT_PROVEN: restart persistence is asserted in tests/db/** where the outcome has a stored half,NOT_PROVEN: concurrency is asserted in tests/db/idempotency-store.test.ts and tests/integration/** where relevant,tests/regression/live-fire-proof-10.test.ts,UNPINNED: scripts/artifact-identity.sh is a loud-fail placeholder owned by EP-009,.agent/evidence/regression/live-fire-proof-10.txt,PARTIAL
