dod_id,scope,rule,because,required_evidence,or_else,must_account
DOD-001,"task,feature,milestone,node,release",Every promised behavior has a stable requirement ID and at least one acceptance test before implementation is declared complete.,"Without stable identity, scope drifts and tests cannot prove the promised behavior.",Requirement-to-test traceability row plus executed acceptance evidence.,The item is INCOMPLETE and NODE_DONE/GO is prohibited until the mapping exists and passes.,true
DOD-002,"node,release",The repository builds from a clean checkout using the committed frozen/locked dependency files and declared toolchain.,Developer caches and floating dependencies can hide undeclared state and non-reproducible builds.,"Clean-environment install/build logs, lockfile digest, tool versions, exit codes, and build sentinel.","Record FAIL for the clean-build gate; dependent runtime tests may be BLOCKED_PREREQUISITE, but independent tests continue.",true
DOD-003,"feature,node,release",The production distribution artifact is created successfully in every supported format.,Source code is not what users install or operators deploy.,"Artifact paths, formats, sizes, metadata, checksums, signatures/attestations when applicable, and build logs.",The release is NO_GO and artifact-dependent tests remain BLOCKED_PREREQUISITE.,true
DOD-004,"feature,node,release","Final smoke and E2E tests run against the exact production artifact digest, not merely source or a development server.","Packaging can omit files, alter configuration, or introduce behavior not visible in source-level tests.","Artifact digest bound to test environment, commands, logs, and observed outcomes.",Artifact-level behavior is UNVERIFIED and completion is prohibited.,true
DOD-005,"milestone,node,release",Required tests execute in an ephemeral clean environment or a documented persistent environment created from a known baseline.,"Hidden developer state, caches, databases, and environment variables can create false greens.","Environment manifest, image/VM digest, cache policy, provisioning logs, and teardown proof.",Results are ERROR or INCONCLUSIVE and cannot satisfy completion.,true
DOD-006,"task,feature,milestone,node,release","No required test is skipped, disabled, ignored, pending, quarantined, or xfailed without an approved requirement-scoped waiver.",Skipped work creates silent blind spots while allowing green CI.,"Test-runner collection/skip report and waiver IDs with owner, expiry, rationale, and compensating evidence.",The affected requirement is INCOMPLETE and the release is NO_GO unless policy explicitly permits the time-bounded waiver.,true
DOD-007,"milestone,node,release",The harness fails when zero tests or fewer than the expected manifest are collected.,"Many runners exit zero for empty, misconfigured, or partially discovered suites.","Expected-test manifest/count, collected IDs/count, and test-collection-guard output.",The run is ERROR; no pass result from that suite is valid.,true
DOD-008,"feature,milestone,node,release","Unit tests verify semantic results, boundaries, invalid inputs, error behavior, state transitions, and invariants for critical logic.",Line execution alone does not prove correctness of meaning or failure behavior.,"Mapped unit tests, assertions, boundary partitions, invariant list, coverage, and mutation sensitivity.",The feature remains PARTIAL/UNVERIFIED even if compilation and happy-path tests pass.,true
DOD-009,"feature,node,release","Integration tests use production-type databases, queues, caches, storage, brokers, and other required dependency classes.","In-memory substitutes frequently differ in transactions, locking, serialization, consistency, and failure modes.","Ephemeral production-type service versions, configuration, migrations, test commands, and independently observed state.",Integration claims are PARTIAL or SIMULATED and cannot support production readiness.,true
DOD-010,"feature,node,release",Mocks may support isolation tests but may not be the sole proof of a claimed integration or production feature.,"A mock proves the test author's expectation, not the real dependency or wiring.",At least one real/sandbox dependency execution at the final acceptance boundary.,The feature is SIMULATED/UNVERIFIED and the claim-to-release traceability gate fails.,true
DOD-011,"feature,node,release",Black-box acceptance tests exercise only public user-facing interfaces and do not call private internals to force success.,Users and external systems cannot rely on internal shortcuts.,HTTP/UI/CLI/SDK/event entry-point evidence plus public outputs and side effects.,The test is implementation-coupled and cannot satisfy end-to-end acceptance.,true
DOD-012,"feature,node,release","Important side effects are independently verified through a second connection, client, provider API, database query, event consumer, or durable artifact.",The component under test can falsely report success without performing the effect.,Primary response plus independent observation with correlation/canary ID.,The side-effect claim is UNVERIFIED and any success response is insufficient.,true
DOD-013,"feature,node,release",Runtime-generated unpredictable canary data is used for critical black-box proofs.,"Static examples can be hard-coded, cached, or accidentally satisfied by canned responses.","Seed/source, generated canary, propagation trace, and final independent observation.",The proof is susceptible to fabrication and does not satisfy Functional Reality.,true
DOD-014,"feature,node,release","Wrong credentials, revoked permissions, expired tokens, and unavailable dependencies cause accurate fail-closed behavior rather than simulated success.",Production systems must communicate real dependency/auth failures and preserve integrity.,"Negative live-fire logs, status/error contracts, no-side-effect proof, and recovery behavior.",The feature FAILS resilience/security acceptance and release is blocked when critical.,true
DOD-015,"feature,node,release",Persistent state survives full process and container restart and is readable by the supported runtime.,Memory-only or process-local success can masquerade as durable implementation.,"Pre-restart state hash, hard restart evidence, post-restart independent read, and reconciliation.",The persistence claim is FALSE/SIMULATED and completion is prohibited.,true
DOD-016,"feature,node,release",Required migrations work from an empty database and every supported prior released schema with logical data preservation.,Fresh installs and upgrades exercise different paths and failures can strand customers.,"Baseline schema/data hashes, migration logs, post-migration invariants, retry/rollback evidence, and supported-version matrix.",The release is NO_GO for affected install/upgrade paths.,true
DOD-017,"feature,node,release","Duplicate, retried, reordered, delayed, and concurrent operations preserve idempotency, integrity, and the documented delivery semantics.",Distributed systems naturally redeliver and race; naive handling duplicates or loses side effects.,"Idempotency keys, concurrent traces, commit/ack fault cases, final reconciliation, and invariant results.",The feature FAILS data-integrity acceptance and cannot ship when state-changing.,true
DOD-018,"feature,node,release",At least one controlled defect or mutation is introduced for each critical feature and the relevant test must fail.,A permanently green test may not observe the behavior it claims to protect.,"Mutation/defect ID, changed behavior, failing test evidence, restoration, and green rerun.",The test is non-discriminating; its pass cannot prove the feature.,true
DOD-019,"feature,milestone,node,release","Placeholder, stub, fake, demo, simulation, no-op, dead-route, hard-coded-success, and unfinished-code scans run against all production paths.",AI-generated and scaffolded repositories often appear complete while returning fabricated behavior.,"Lexical scan, structural trace, reachable-path analysis, allowlist decisions, and findings.",Any unexplained hit is a release blocker or the affected claim is explicitly marked incomplete.,true
DOD-020,"feature,node,release","Production mode never selects mock, fake, demo, sample, or in-memory adapters for features represented as production-ready unless that adapter is the documented production architecture.",Environment switches can silently route real users into simulated behavior.,"Production configuration resolution, dependency injection graph, runtime adapter identity, and live-fire evidence.",The feature is SIMULATED and the release is NO_GO.,true
DOD-021,"milestone,node,release","Applicable formatting, linting, static analysis, type checking, secret scanning, dependency/license/SBOM scanning, IaC/container checks, and security tests pass under enforced thresholds.",These gates catch classes of defects before runtime and protect the supply chain.,"Commands, versions, reports, exit codes, thresholds, and approved time-bounded waivers.",The gate records FAIL or unresolved risk; silent continuation is prohibited.,true
DOD-022,"feature,node,release","Performance, resource, cost, and SLO requirements are encoded as automated pass/fail thresholds against a defined workload and environment.","Unmeasured claims such as fast, scalable, or cheap cannot be verified or regression-gated.","Workload model, environment, samples, percentiles, resource metrics, thresholds, and verdict.",The nonfunctional claim is UNVERIFIED and a mandatory SLO failure is NO_GO.,true
DOD-023,"node,release","README commands, examples, quickstarts, install, upgrade, deployment, rollback, and operator instructions are executed exactly as published in clean environments.",Documentation drift creates hidden operator knowledge and failed customer installs.,"Extracted command manifest, clean execution logs, expected/actual outputs, and corrected documentation.",Documentation is defective and the affected support/install claim cannot pass.,true
DOD-024,"task,feature,milestone,node,release","No test or scanner failure is hidden by continue-on-error, ignored exit codes, unconditional success, swallowed exceptions, all-retry policies, filtered output, or baseline auto-acceptance.",Failure masking converts real defects into fraudulent green status.,"CI/script review, raw exit codes, first-failure logs, status-transition audit, and no-mask checks.",The run is INVALID/ERROR and all dependent pass claims are revoked.,true
DOD-025,"milestone,node,release","Raw commands, tool versions, exit codes, logs, reports, traces, seeds, environment fingerprints, candidate SHA, artifact hashes, and evidence digests are preserved.",A claim that cannot be reproduced or tied to an exact identity cannot be trusted.,Evidence index entries and content hashes linked to each result.,The result is INCONCLUSIVE and cannot satisfy a release gate.,true
DOD-026,"task,feature,milestone,node,release","Any unmet condition is reported as incomplete, partial, simulated, blocked, experimental, external-required, deferred, failed, errored, or unverified using the exact taxonomy.",Honest status prevents uncertainty from being laundered into completion.,"Status record, rationale, evidence, dependency edge, and next action.",DONE/GO is prohibited and any contrary narrative is a fabrication defect.,true
DOD-027,"task,feature,milestone,node,release","An incomplete implementation may not be replaced with a fabricated success response, and acceptance criteria may not be weakened merely to obtain a pass.",Changing the oracle or faking output hides the defect instead of solving it.,"Diff review, requirement history, gate hash, mutation/live-fire proof, and decision log.","Revert the manipulation, record a critical process finding, and keep the item incomplete.",true
DOD-028,"task,feature,milestone,node,release","The final completion report distinguishes verified behavior, partially verified behavior, unverified assumptions, blocked work, external gates, accepted risks, and every remaining limitation.",Readers need to know exactly what evidence supports each claim.,Structured final report and complete accounting linked to requirements/tests/evidence.,The report is invalid and completion cannot be declared.,true
DOD-029,"node,release","The exact candidate commit, base revision, test-overlay revision, build inputs, and release artifact digest are pinned and recorded.",Evidence can otherwise drift across unidentifiable code and artifacts.,Run manifest and artifact-identity output.,All identity-dependent evidence is INCONCLUSIVE and release is prohibited.,true
DOD-030,"node,release",All 484 canonical test IDs receive an individual applicability decision and final status; zero IDs are missing or duplicated.,"Exhaustive testing requires exhaustive accounting, not silent omission.","Registry snapshot, applicability matrix, test ledger, validator report, and final totals invariant.",Harness validation fails and the project cannot be declared production-ready.,true
DOD-031,"node,release",A failed prerequisite blocks only tests with explicit dependency edges; independent tests continue to completion.,Blanket blocking hides defects and confuses product failures with environment limitations.,"Dependency blocker graph, per-test blocker fields, continuation logs, and blanket-block validator.","The accounting is invalid, the campaign remains IN_PROGRESS/ERROR, and final verdict cannot be trusted.",true
DOD-032,"node,release","Every FAIL, ERROR, BLOCKED_PREREQUISITE, BLOCKED_ENVIRONMENT, BLOCKED_CAPABILITY, BLOCKED_CREDENTIALS, BLOCKED_SAFETY, EXTERNAL_REQUIRED, and DEFERRED_LONG_RUNNING result uses the precise definition and required fields.",Different causes require different remediation and release decisions.,Status-transition audit and schema validation.,Misclassified rows are rejected and must be corrected before final accounting.,true
DOD-033,"node,release",The harness non-invasively discovers canonical bootstrap and provisions declared test infrastructure when the adapter can do so.,"Missing PostgreSQL, queues, browsers, or build ordering is often a harness setup problem rather than a product capability gap.","Repository evidence for commands/versions plus provisioning, health, migration, and teardown logs.","The attempt is ERROR, not BLOCKED_CAPABILITY or candidate FAIL, until the harness setup is corrected.",true
DOD-034,release,"A virgin clean room installs and boots the exact final artifact using only public documentation and declared prerequisites, then completes the golden path.",Developer-machine bias and hidden dependencies make otherwise green software undistributable.,"Zero-state proof, documented prerequisite log, artifact transfer/digest, install/boot/golden-path evidence.",The distribution is NO_GO and documentation/install findings remain open.,true
DOD-035,release,"Every claimed upgrade, downgrade, rollback, version-skew, mixed-fleet, and compatibility path is executed with realistic persistent state.",Releases fail in transitions even when each version works alone.,"Compatibility matrix, old/new artifacts, state hashes, queue/event evidence, and rollback outcome.",Unsupported or failed claimed paths block release or must be explicitly removed from support claims.,true
DOD-036,release,"Backup, restore, disaster recovery, hard-failure recovery, RPO, RTO, and MTTR claims are executed against reconciled state where applicable.","Restarting a process is not recovery if transactions are lost, duplicated, or corrupted.","Pre-disaster hash, fault injection, restore/recovery logs, post-state reconciliation, and measured objectives.",Recovery readiness FAILS and stateful production release is NO_GO when mandatory.,true
DOD-037,"feature,node,release","Health, readiness, logs, metrics, traces, alerts, dashboards, and correlation IDs truthfully describe critical workflows and induced failures without leaking secrets.",Operators cannot run or recover a system whose telemetry lies or lacks causality.,"Known-failure injection mapped to signals, alert lifecycle, trace/log correlation, and redaction evidence.",Observability is FAIL/INCOMPLETE and mandatory production operations gate fails.,true
DOD-038,release,"Required soak, endurance, fuzz, performance, stress, and recovery durations/workloads are completed at their specified scale; abbreviated trials are labeled separately.",Short samples cannot prove long-duration stability or representative capacity.,"Start/end timestamps, continuous heartbeats, telemetry, corpus/workload, interruptions, and full-duration report.","Status is DEFERRED_LONG_RUNNING, EXTERNAL_REQUIRED, PARTIAL, or FAIL -- never PASS for the full requirement.",true
DOD-039,release,"Human UAT, manual assistive-technology validation, legal/compliance review, physical hardware/HSM work, and accredited assessment are signed only by the required real participants.","AI or automated tooling cannot impersonate business acceptance, lived accessibility use, hardware evidence, or professional certification.","Named authorized sign-off, scope, date, scenarios/evidence, and unresolved findings.",Status remains EXTERNAL_REQUIRED and GO is prohibited when the gate is mandatory.,true
