requirement_id,source,test_id,acceptance,evidence_path,status
LIVE-FIRE-PROOF-01,Subject-bound discovery,REG-01,discovery reads and declares its coverage surface (applies/complete/sourcesAttempted/sourcesTotal); an unqualified absence is unrepresentable. NEGATIVE CASE: only POST /v1/discovery-runs is write-shaped; an unclear permission class is refused with PERMISSION_CLASS_UNCLEAR. NOT PROVEN AT THIS LAYER: a real discovery run against live sources,.agent/evidence/regression/live-fire-proof-01.txt,PARTIAL
LIVE-FIRE-PROOF-02,Controller removal closed loop,REG-02,"the only transition into VERIFIED_REMOVED is T14 from ACKNOWLEDGED, producing a VerificationObservation. NEGATIVE CASE: a claim with no observation has only NOT_REMOVABLE or HUMAN_REQUIRED to reach; the six forbidden pairs are asserted by name. NOT PROVEN AT THIS LAYER: a real controller response and a real observation (live-fire)",.agent/evidence/regression/live-fire-proof-02.txt,PARTIAL
LIVE-FIRE-PROOF-03,Multi-channel escalation,REG-03,priority is total; the highest-priority lawful channel is selected whatever the input order; rejected channels carry recorded reasons. NEGATIVE CASE: a lower-priority channel cannot be chosen while a lawful higher one is available; a GATED channel with no recorded reason is refused. NOT PROVEN AT THIS LAYER: a real delivery on any channel,.agent/evidence/regression/live-fire-proof-03.txt,PARTIAL
LIVE-FIRE-PROOF-04,Source and search separation,REG-04,"SEARCH_DELISTED and VERIFIED_REMOVED are separate states with separate claims, asserted from the facts data. NEGATIVE CASE: a delisting cannot increment a removal count; no state claims both; the vocabulary is closed. NOT PROVEN AT THIS LAYER: nothing at this layer: the rule lives entirely in the facts table that is asserted",.agent/evidence/regression/live-fire-proof-04.txt,PASS
LIVE-FIRE-PROOF-05,Reappearance monitoring,REG-05,"REAPPEARED is reachable only from VERIFIED_REMOVED or SEARCH_DELISTED and re-enters the flow with its guard and evidence. NEGATIVE CASE: no transition into REAPPEARED starts from creation, so a first-ever find cannot be labelled a reappearance. NOT PROVEN AT THIS LAYER: nothing at this layer: the rule lives entirely in the transition table that is asserted",.agent/evidence/regression/live-fire-proof-05.txt,PASS
LIVE-FIRE-PROOF-06,Custom internet removal,REG-06,"the transition into REQUEST_READY is guarded by authority, policy, recipe freshness and channel permission; quarantine is a database fact. NEGATIVE CASE: an unclear permission class, a GATED channel with no record and a stale recipe are each refused. NOT PROVEN AT THIS LAYER: a real unknown route and a real approval",.agent/evidence/regression/live-fire-proof-06.txt,PARTIAL
LIVE-FIRE-PROOF-07,Privacy preservation,REG-07,"the four protected classes are denied with a willing scrubber, zero attempts and no evidence id; the detection is two-way. NEGATIVE CASE: an IDENTITY_DOCUMENT cannot leave; a payload-shaped metric label is refused and label values are enum-checked. NOT PROVEN AT THIS LAYER: the tenant half, proven against PostgreSQL in tests/db/rls.test.ts and tests/integration/cross-tenant-both-layers.test.ts",.agent/evidence/regression/live-fire-proof-07.txt,PARTIAL
LIVE-FIRE-PROOF-08,Provider transport,REG-08,"only OFFICIAL_API, OFFICIAL_FORM and OFFICIAL_MAIL are recordable, in the factory and in the schema CHECK. NEGATIVE CASE: SCRAPING, COOKIE_REUSE, SESSION_REPLAY, BROWSER_SESSION and UNDOCUMENTED_API are refused by name; undocumented endpoints are refused by the SSRF suites. NOT PROVEN AT THIS LAYER: the provider entitlement run, which is EXTERNAL_REQUIRED: no provider has been contacted",.agent/evidence/regression/live-fire-proof-08.txt,EXTERNAL_REQUIRED
LIVE-FIRE-PROOF-09,Failure recovery,REG-09,"a key is compared exactly and the uniqueness that prevents a second effect is a database constraint. NEGATIVE CASE: a padded key is refused rather than trimmed; an empty key is refused; the DB CHECK refuses a short key. NOT PROVEN AT THIS LAYER: the durable replay proof, in tests/db/idempotency-store.test.ts and tests/db/action-records.test.ts",.agent/evidence/regression/live-fire-proof-09.txt,PARTIAL
LIVE-FIRE-PROOF-10,Bug-to-draft-PR loop,REG-10,"a repair capsule refuses apparent personal data in all three text fields and carries no raw-event field. NEGATIVE CASE: an email address in any field is refused; the fingerprint is required, and is NOT unique in the schema (recorded). NOT PROVEN AT THIS LAYER: any auto-merge or auto-deploy control: .github/workflows is empty and no CODEOWNERS exists, so the protected-path rule is unenforced by machine",.agent/evidence/regression/live-fire-proof-10.txt,PARTIAL
LIVE-FIRE-PROOF-11,Coverage honesty,REG-11,"the caveat list is present; the skip vocabulary is closed; the denominator rule is stated in the contract where every adapter reads it. NEGATIVE CASE: a skip reason cannot be a completed outcome; a ratio with a zero denominator is null and never 0. NOT PROVEN AT THIS LAYER: the numeric rendering and the stored reports, in tests/contract/coverage-presentation.test.ts and tests/db/coverage-reports.test.ts",.agent/evidence/regression/live-fire-proof-11.txt,PARTIAL
LIVE-FIRE-PROOF-12,Enterprise authorization,REG-12,"enrolment is refused for an expired grant and for an AGENT grant with no instrument; the deferred trigger is read from the migration that declares it. NEGATIVE CASE: an expired grant cannot enrol anyone; a forged (evidence-less) agent grant cannot exist; a bypass still fails the other layer. NOT PROVEN AT THIS LAYER: the enterprise human sign-off, which is EXTERNAL_REQUIRED in TEST_LEDGER.jsonl (counsel review, human UAT)",.agent/evidence/regression/live-fire-proof-12.txt,EXTERNAL_REQUIRED
