test_id,applicability,applicability_predicate,applicability_evidence,decision_rule_ref,decided_by,decided_at,default_status,owner_stage
BC-001,SKIPPED_NOT_APPLICABLE,conditional,"registry default_stage 03-STATIC-DESIGN-SUPPLY-CHAIN; the ID names a chain-specific subject; probe BLOCKCHAIN ABSENT: no blockchain, chain, wallet, contract or on-chain implementation exists: 0 of 250 implementation file(s) under src/, ui/ and db/ import a matching module (708 import specifier(s) read) and 0 of 11 runtime dependencies match",topic:blockchain-specific->probe:BLOCKCHAIN(absent),scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-004
BC-002,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 03-STATIC-DESIGN-SUPPLY-CHAIN; the ID subject is not chain-specific (matched topic code-analysis from ""Automated Static Code Analysis"") and is decided on its own merits from this repository primitives; probe STATIC_ANALYSIS PRESENT: scripts/lint.sh static lint stage; scripts/security-check.sh security contract suites and scans; scripts/reality-gate.sh placeholder and simulation scan",topic:code-analysis->probe:STATIC_ANALYSIS,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-004
BC-003,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 12-DYNAMIC-SECURITY; the ID subject is not chain-specific (matched topic code-analysis from ""Control Flow Analysis"") and is decided on its own merits from this repository primitives; probe STATIC_ANALYSIS PRESENT: scripts/lint.sh static lint stage; scripts/security-check.sh security contract suites and scans; scripts/reality-gate.sh placeholder and simulation scan",topic:code-analysis->probe:STATIC_ANALYSIS,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-004,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 12-DYNAMIC-SECURITY; the ID subject is not chain-specific (matched topic code-analysis from ""Data Flow Analysis"") and is decided on its own merits from this repository primitives; probe STATIC_ANALYSIS PRESENT: scripts/lint.sh static lint stage; scripts/security-check.sh security contract suites and scans; scripts/reality-gate.sh placeholder and simulation scan",topic:code-analysis->probe:STATIC_ANALYSIS,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-005,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 12-DYNAMIC-SECURITY; the ID subject is not chain-specific (matched topic code-analysis from ""Taint Analysis"") and is decided on its own merits from this repository primitives; probe STATIC_ANALYSIS PRESENT: scripts/lint.sh static lint stage; scripts/security-check.sh security contract suites and scans; scripts/reality-gate.sh placeholder and simulation scan",topic:code-analysis->probe:STATIC_ANALYSIS,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-006,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 12-DYNAMIC-SECURITY; the ID subject is not chain-specific (matched topic code-analysis from ""Pattern Matching Analysis"") and is decided on its own merits from this repository primitives; probe STATIC_ANALYSIS PRESENT: scripts/lint.sh static lint stage; scripts/security-check.sh security contract suites and scans; scripts/reality-gate.sh placeholder and simulation scan",topic:code-analysis->probe:STATIC_ANALYSIS,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-007,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 12-DYNAMIC-SECURITY; the ID subject is not chain-specific (matched topic code-analysis from ""Vulnerability Pattern Detection"") and is decided on its own merits from this repository primitives; probe STATIC_ANALYSIS PRESENT: scripts/lint.sh static lint stage; scripts/security-check.sh security contract suites and scans; scripts/reality-gate.sh placeholder and simulation scan",topic:code-analysis->probe:STATIC_ANALYSIS,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-008,SKIPPED_NOT_APPLICABLE,conditional,"registry default_stage 12-DYNAMIC-SECURITY; the ID names a chain-specific subject; probe BLOCKCHAIN ABSENT: no blockchain, chain, wallet, contract or on-chain implementation exists: 0 of 250 implementation file(s) under src/, ui/ and db/ import a matching module (708 import specifier(s) read) and 0 of 11 runtime dependencies match",topic:blockchain-specific->probe:BLOCKCHAIN(absent),scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-009,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 12-DYNAMIC-SECURITY; the ID subject is not chain-specific (matched topic runtime from ""Runtime Verification"") and is decided on its own merits from this repository primitives; probe SERVICE PRESENT: src/infrastructure/main.ts packaged entry point",topic:runtime->probe:SERVICE,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-010,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 17-RECOVERY-OBSERVABILITY; the ID subject is not chain-specific (matched topic runtime-monitoring from ""Runtime Monitoring"") and is decided on its own merits from this repository primitives; probe OBSERVABILITY PRESENT: config/metrics/catalogue.json 42 metric families; config/alerts/catalogue.json 20 alert rows; config/slo/objectives.json 5 objective(s)",topic:runtime-monitoring->probe:OBSERVABILITY,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-019
BC-011,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 17-RECOVERY-OBSERVABILITY; the ID subject is not chain-specific (matched topic persistence from ""Transaction Monitoring"") and is decided on its own merits from this repository primitives; probe PERSISTENCE PRESENT: db/migrations 34 migration(s); src/adapters/persistence",topic:persistence->probe:PERSISTENCE,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-019
BC-012,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 17-RECOVERY-OBSERVABILITY; the ID subject is not chain-specific (matched topic runtime-monitoring from ""Anomaly Detection"") and is decided on its own merits from this repository primitives; probe OBSERVABILITY PRESENT: config/metrics/catalogue.json 42 metric families; config/alerts/catalogue.json 20 alert rows; config/slo/objectives.json 5 objective(s)",topic:runtime-monitoring->probe:OBSERVABILITY,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-019
BC-013,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 12-DYNAMIC-SECURITY; the ID subject is not chain-specific (matched topic runtime-monitoring from ""Behavioral Analysis"") and is decided on its own merits from this repository primitives; probe OBSERVABILITY PRESENT: config/metrics/catalogue.json 42 metric families; config/alerts/catalogue.json 20 alert rows; config/slo/objectives.json 5 objective(s)",topic:runtime-monitoring->probe:OBSERVABILITY,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-014,SKIPPED_NOT_APPLICABLE,conditional,"registry default_stage 17-RECOVERY-OBSERVABILITY; the ID names a chain-specific subject; probe BLOCKCHAIN ABSENT: no blockchain, chain, wallet, contract or on-chain implementation exists: 0 of 250 implementation file(s) under src/, ui/ and db/ import a matching module (708 import specifier(s) read) and 0 of 11 runtime dependencies match",topic:blockchain-specific->probe:BLOCKCHAIN(absent),scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-019
BC-015,SKIPPED_NOT_APPLICABLE,conditional,"registry default_stage 12-DYNAMIC-SECURITY; the ID names a chain-specific subject; probe BLOCKCHAIN ABSENT: no blockchain, chain, wallet, contract or on-chain implementation exists: 0 of 250 implementation file(s) under src/, ui/ and db/ import a matching module (708 import specifier(s) read) and 0 of 11 runtime dependencies match",topic:blockchain-specific->probe:BLOCKCHAIN(absent),scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-016,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 11-FORMAL-PROPERTY-REGRESSION; the ID subject is not chain-specific (matched topic formal-methods from ""Property-Based Testing"") and is decided on its own merits from this repository primitives; probe FORMAL PRESENT: scripts/mutation-gate.sh mutation gate over the suites; tests/domain/state-machine.test.ts every legal transition with its guard satisfied and refused when not; tests/domain/illegal-transitions.test.ts the documented forbidden pairs; tests/domain/invariants.test.ts the state-machine invariants SM-1 through SM-6",topic:formal-methods->probe:FORMAL,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-012
BC-017,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 11-FORMAL-PROPERTY-REGRESSION; the ID subject is not chain-specific (matched topic formal-methods from ""Invariant Testing"") and is decided on its own merits from this repository primitives; probe FORMAL PRESENT: scripts/mutation-gate.sh mutation gate over the suites; tests/domain/state-machine.test.ts every legal transition with its guard satisfied and refused when not; tests/domain/illegal-transitions.test.ts the documented forbidden pairs; tests/domain/invariants.test.ts the state-machine invariants SM-1 through SM-6",topic:formal-methods->probe:FORMAL,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-012
BC-018,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 12-DYNAMIC-SECURITY; the ID subject is not chain-specific (matched topic dynamic-analysis from ""Coverage-Guided Fuzzing"") and is decided on its own merits from this repository primitives; probe DYNAMIC_TESTING PRESENT: scripts/induced-failure-readiness.sh induced failure across every declared dependency; scripts/gate-observability.sh observability gate that runs the induced-failure stage; tests/db integration suites against a provisioned database",topic:dynamic-analysis->probe:DYNAMIC_TESTING,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-019,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 12-DYNAMIC-SECURITY; the ID subject is not chain-specific (matched topic stateful from ""Stateful Fuzzing"") and is decided on its own merits from this repository primitives; probe PERSISTENCE PRESENT: db/migrations 34 migration(s); src/adapters/persistence",topic:stateful->probe:PERSISTENCE,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-020,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 12-DYNAMIC-SECURITY; the ID subject is not chain-specific (matched topic dynamic-analysis from ""Differential Fuzzing"") and is decided on its own merits from this repository primitives; probe DYNAMIC_TESTING PRESENT: scripts/induced-failure-readiness.sh induced failure across every declared dependency; scripts/gate-observability.sh observability gate that runs the induced-failure stage; tests/db integration suites against a provisioned database",topic:dynamic-analysis->probe:DYNAMIC_TESTING,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
BC-021,APPLICABLE_AUTOMATABLE,conditional,"registry default_stage 12-DYNAMIC-SECURITY; the ID subject is not chain-specific (matched topic dynamic-analysis from ""Grammar-Based Fuzzing"") and is decided on its own merits from this repository primitives; probe DYNAMIC_TESTING PRESENT: scripts/induced-failure-readiness.sh induced failure across every declared dependency; scripts/gate-observability.sh observability gate that runs the induced-failure stage; tests/db integration suites against a provisioned database",topic:dynamic-analysis->probe:DYNAMIC_TESTING,scripts/applicability-decide.sh,2026-09-20T01:00:58.989Z,PLANNED,V-013
